Bew.-Nr.;Firmenname;Adresse;PLZ;Ort/Region;Kategorie;Weitere Aktivitäten;Tierart
41503289;Metzgerei Hähni AG;Gerbestrasse 12;3415;Hasle-Rüegsau BE;SH;;B, C, O, P
41707906;Metzgerei Jud AG;Zürcherstrasse 53;8730;Uznach SG;SH;SH(III);B, C, O, P, S
41706483;Metzgerei Kaufmann AG;Neudorf ;9466;Sennwald SG;SH;;B, C, O, P, S
45922417;Metzgerei Kreienbühl AG;Langenthalerstrasse 10;4803;Vordemwald AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
67519843;Metzgerei Lamm Türkel GmbH;Kirchstrasse 5;8580;Amriswil TG;SH;SH(II);B, C, O
41962786;Metzgerei Lehmann AG;Dorfstrasse 24;3182;Ueberstorf FR;SH;SH(III), CP(IV), GHE(IV);B, C, O, P, S
66519302;Metzgerei Leibacher GmbH;Sandeggstrasse 2;8560;Märstetten TG;SH;SH(III), GHE(IV);B, C, O, P
53250065;Metzgerei Loosli GmbH;Sandgütsch 2b;6024;Hildisrieden LU;SH;;B, C, O, P
41980408;Metzgerei Lorétan AG;rte de Fribourg 17;1784;Courtepin FR;SH;SH(II), CP(IV), GHE(IV);B, C, O, P
M19.1530.1;Metzgerei Metzger AG;Schlachtanlage Erlen ;9655;Stein SG SG;SH;SH(II), SH(III);B, C, O, P, S
54468723;Metzgerei Nyffenegger AG;;3436;Zollbrück BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
40978313;Metzgerei Olbrecht AG;Kirchstrasse 8;8572;Berg TG TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
41616992;Metzgerei Peter Bühler;Bächlistrasse 64;9633;Bächli (Hemberg) SG;SH;SH(II);B, C, O, P, S
42132842;Metzgerei Rickli AG;Unterdorf 13;8718;Schänis SG;SH;;B, C, O, P
93743024;Metzgerei Riesen;Balmberg 83;3096;Oberbalm BE;SH;SH(II);B, C, O, P
41713119;Metzgerei Rust GmbH;Sidwaldstrasse 26;9652;Neu St. Johann SG;SH;SH(II);B, C, O, P, S
41504036;Metzgerei Schlüchter AG;;3465;Dürrenroth BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
40263452;Metzgerei Villiger AG;Zugerbergstrasse 17;6314;Unterägeri ZG;SH;SH(II), SH(III), GHE(IV), PP(VI);B, C, O, P, S
80442244;Metzgerei Werder;Marktgasse 17;5304;Endingen AG;SH;SH(II), SH(III), GHE(IV);B, C, O, P, S
40453967;Metzgerei Widmer AG;;3257;Grossaffoltern BE;SH;SH(II), SH(III), GHE(IV);B, C, O, P
41626189;Metzgerei Willi AG;Wiesentalstrasse 2;9242;Oberuzwil SG;SH;;B, C, O, P
63457338;Metzgerei Wyss GmbH, Raphael Wyss;Industriestr. 5;6203;Sempach Station LU;SH;;B, C, O, P
74136186;Metzgerei Zemp;Gewerbering 9;6018;Buttisholz LU;SH;;B, C, O, P
70215518;Metzgerei Zimmermann AG;Rössligasse 18;4460;Gelterkinden BL;SH;SH(III), GHE(IV);B, C, O, P
340;Micarna SA - produits carnés;rte de l'Industrie 25;1784;Courtepin FR;SH, CP;CS(0), RW(0), WM(0), CP(II), CP(III), CP(IV), MM(V), MP(V), PP(VI);B, O, P, S
95779531;Michel Fritz;Untere Bönigstrasse 38;3800;Interlaken BE;SH;SH(III);B, C, O, P, S
45855200;Michel Simon;Hauptstrasse 27;8552;Felben-Wellhausen TG;SH;;B, C, O, P, S
64319106;Milava GmbH;Ebnaterstrasse 42;9642;Ebnat-Kappel SG;SH;;B, C, O
70149200;Milchproduzentengenossenschaft Rüti;Goldbachstr. 20;8630;Rüti ZH ZH;SH;SH(II), SH(III);B, C, O, P, S
53497068;Moser Martin;Steinerbergstrasse 74;6417;Sattel SZ;SH;;B, C, O, P
53912741;Mujo Metzgerei;Hauptstrasse 20;4952;Eriswil BE;SH;SH(II), SH(III), GHE(IV);B, C, O
69992431;Müller Fleisch GmbH;;8226;Schleitheim SH;SH;SH(II), SH(III);B, C, O, P, S
41544987;Müller Hans-Jörg, Littauer-Metzg;Luzernerstr. 1110;6014;Luzern LU;SH;;B, C, O, P
40966213;Müller Stefan;Dorfstrasse 13;8512;Thundorf TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
50689125;MZ Kalchrain;Kalchrain ;8536;Hüttwilen TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
15529967;Mäder Daniel;Fulnau 1;4206;Seewen SO SO;SH;SH(II), SH(III), GHE(IV);B, C, O, P
94055156;Natur- und Tierpark Goldau;Depotweg 22;6410;Goldau SZ;SH;SH(III);B, C, O, P
79870635;Neidhart Felix;Hanfgartenstrasse 419a;8262;Ramsen SH;SH;SH(II), SH(III);B, C, O, P, S
52418960;Notschlachtanlage Appenzell;Weissbadstrasse 49 B;9050;Appenzell AI;SH;GHE(IV);B, C, O, P, S
52380673;Notschlachthaus Einsiedeln;Gaswerkstrasse 10a, Postfach 161;8840;Einsiedeln SZ;SH;;B, C, O, P, S
72036804;Notschlachthaus Oberbussnang;Spitzacker ;9565;Bussnang TG;SH;SH(II), SH(III), GHE(IV);B, C, O, P
70218173;Notschlachthaus Schwyz;Kaltbach ;6423;Seewen SZ SZ;SH;;B, C, O, P
70149546;Notschlachthaus Schübelbach;Rietbrunnen 16;8808;Pfäffikon SZ SZ;SH;;B, C, O, P, S
70148123;Notschlachthaus Wartau;Lonnabongert 2420;9476;Weite SG;SH;SH(III);B, C, O, P, S
70148139;Notschlachtlokal Engi/Bütschwil;Engi ;9606;Bütschwil SG;SH;;B, C, O, P, S
;Notschlachtlokal Eschenbach c/o Finanzverwaltung Eschenbach;Gublen 2245;8733;Eschenbach SG SG;SH;SH(III);B, C, O, P, S
70148034;Notschlachtlokal Gams Gemeindekassieramt;Hof ;9473;Gams SG;SH;SH(III);B, C, O, P, S
70148029;Notschlachtlokal Mels Gemeinde Mels;Bachstrasse ;8887;Mels SG;SH;;B, C, O, P
70148097;Notschlachtlokal Mörschwil;Gemeindamt, Postfach ;9402;Mörschwil SG;SH;;B, C, O, P, S
70149530;Notschlachtlokal Nesslau Hans Louis;Berstel 1983;9650;Nesslau SG;SH;SH(III);B, C, O, P, S
A70148076;Notschlachtlokal Rossrüti Herr Thomas Ruckstuhl;Uerental ;9512;Rossrüti SG;SH;;B, C, O, P, S
70682712;Notschlachtlokal Rufi;Mühlackerstrasse 2;8723;Rufi SG;SH;;B, C, O, P, S
70148102;Notschlachtlokal Stadt Altstätten;Hinterdammstrasse 10;9450;Altstätten SG SG;SH;;B, C, O, P, S
